name;lagerplats;lokal;hyllplats;description;value;photo_url;photos;category;subcategory;condition
Lenovo ThinkVision T24d-30 ;Stora Gatan 12, 123 45 Staden;Lager A;Hylla 1;"24"" 1920 x 1200pixels IPS 16:10 100Hz. 	Lenovo ThinkVision T24d-30 är en 24"" 16:10 IPS‑monitor med 1920×1200‑upplösning, 99 % sRGB‑täckning och 300 cd/m² W‑LED‑bakgrundsbelysning. Eyesafe‑ och Low Blue Light‑certifieringar ger en bekväm, färgkorrekt bild med reducerat blått ljus.
Den inbyggda USB 3.2 Gen 1‑hubben (en USB Type‑B uppströms och fyra USB Type‑A nedströms), samt HDMI 1.4, DisplayPort 1.2, VGA och två 4 W‑högtalare håller arbetsytan prydlig och förenklar anslutning av flera enheter.
Höjdjustering (155 mm) samt tilt‑, swivel‑ och pivotfunktioner, avtagbart stativ och VESA 100×100‑fäste ger flexibilitet i placering och montering. ENERGY STAR‑, EPEAT Gold‑ och TCO‑certifieringar i kombination med en typisk effektförbrukning på 15 W gör den lämplig för energimedvetna installationer.";2000;;;electronics;audio-video;excellent
Dell UltraSharp U2424H ;Stora Gatan 12, 123 45 Staden;Lager B;Hylla 2;"23.8"" 1920 x 1080pixels IPS 16:9 120Hz. Produktegenskaper
TÜV 4-stjärnigt certifierad för överlägsen ögonkomfort
Full HD 1080p-upplösning för skarpa, tydliga bilder
Ultrabreda betraktningsvinklar med IPS-panelteknik
Förbättrad produktivitet med 120 Hz uppdateringsfrekvens
Flera anslutningsmöjligheter: Alternativ för HDMI och DisplayPort
Snygg 24-tumsskärm, perfekt för installationer med flera skärmar
Optimal ljusstyrka på 250 cd/m² för bekväm visning";1900;;;electronics;audio-video;good
Benq senseye 3 LED 2320HDBL;Stora Gatan 12, 123 45 Staden;Lager C;Hylla 3;"31.5"" 3840 x 2160pixels IPS 16:9 60Hz. Produktegenskaper
31,5-tums IPS 4K Ultra HD-skärm för fantastisk klarhet
5 ms svarstid för smidig prestanda utan fördröjningar
1,07 miljarder färger ger en rik och levande bild
2000:1 kontrastförhållande för djupare svärta och levande detaljer
400 cd/m² ljusstyrka ger tydlig synlighet i alla ljusförhållanden
BenQ:s MoonHalo-system optimerar ögonskydd och fokus
KVM-integration för sömlös hantering av arbetsytor med flera skärmar";1500;;;electronics;audio-video;excellent
Rœde NT-USB+ Professionell USB-Mikrofon ;Stora Gatan 12, 123 45 Staden;Lager A;Hylla 4;NT-USB+ Professionell USB-Mikrofon. NT-USB+ är en professionell USB-mikrofon med helt nya funktioner för inspelning direkt till dator eller mobila enheter. Mikrofonens kondensatorkapsel är av studiokvalitet och med en inbyggd Revolution Preamp med ultralåg brus och high gain levererar den perfekt ljudkvalitet för många olika typer av inspelningar. NT-USB+ funkar lika bra till sång och instrument som till podcasting, streaming och gaming.;7499;;;electronics;computers-gaming;good
CalDigit TS4 - Thunderbolt Station 4 with 0.7m Thunderbolt Cable;Stora Gatan 12, 123 45 Staden;Lager B;Hylla 5;"The TS5 is compatible with Thunderbolt 5, Thunderbolt 4, Thunderbolt 3, USB4, USB4 v2, and USB-C host computers.M1/M2/M3/M4 Pro, M1/M2/M3/M4 Max & M1/M2/M3 Ultra Mac¹M1/M2/M3/M4 Mac¹Thunderbolt 5 PCThunderbolt 4 PCThunderbolt 3 MacUSB4 & USB4 v2 PCIntel Thunderbolt 3 Mac¹USB-C Mac or PCThunderbolt iPad²Thunderbolt Chromebook";4300;;;electronics;audio-video;excellent
Bose QuietComfort Ultra Headphones (2nd Gen) ;Stora Gatan 12, 123 45 Staden;Lager C;Hylla 6;"Produktegenskaper
Bose QuietComfort Ultra (2nd Gen) over-ear-hörlurar kombinerar aktiv brusreducering med flera valbara lyssningslägen, inklusive Bose Immersive Audio och ett filmmode som skapar ett rumsligt surroundljud och förtydligar dialoger.
CustomTune anpassar ljudåtergivningen efter dina öron, de inbyggda mikrofonerna ger klart röstsamtal, och både touch- och fysiska knappar fungerar med Siri för bekväm handsfree-användning.
Bluetooth 5.3 erbjuder trådlös anslutning och USB-C-laddning ger upp till 30 timmars uppspelningstid (cirka 23 timmar vid användning av Immersive Audio). En 15 minuters snabbladdning ger ungefär 2,5 timmars speltid. I paketet ingår ett skyddsfodral samt USB-C- och ljudkablar.";3750;;;electronics;audio-video;good
Apple TV 4K Wi-Fi + Ethernet / 128GB;Stora Gatan 12, 123 45 Staden;Lager A;Hylla 7;Apple TV 4K Wi-Fi + Ethernet / 128GB;999;;;electronics;phones-accessories;new
TP-Link TL-SG108 nätverksswitchar Ohanterad L2 Gigabit Ethernet;Stora Gatan 12, 123 45 Staden;Lager B;Hylla 8;"Produktegenskaper
Denna switch levererar pålitlig gigabitprestanda med 8 RJ-45-portar, automatisk förhandling och flödeskontroll för att upprätthålla stabila nätverksanslutningar.
Dess omatchade, L2-design inkluderar viktiga funktioner som kvalitet på tjänst, stöd för jumbo-ramar och standardiserade protokoll för strömlinjeformad trafikhantering.
Byggd för att uppfylla professionella standarder med energieffektivitet och robusta certifieringar, erbjuder den enkel men pålitlig nätverkslösning för alla affärsmiljöer.";600;;;electronics;audio-video;excellent
AWS DeepLens (2019 Edition);Stora Gatan 12, 123 45 Staden;Lager C;Hylla 9;A new way to learn mechanical learning: AWS DeepLens offers sample projects that include hands-on examples that can be performed with a one-click and allows developers to start deep learning no matter what skill level is level. Custom-built for deep learning, AWS DeepLens is designed for deep learning. Over 100 GFLOPS device handling capabilities allow you to handle deep learning forecasts in real time. Build a custom model using Amazon SageMaker models that trained on Amazon SageMaker can be sent from the AWS Management Console in a few clicks to AWS DeepLens Supports a wide range of frameworks: AWS developers can perform a full range of deep learning framework, including TensorFlow and Caffe. AWS DeepLens has pre-installed injective engines optimized for performance, efficiency, and deep learning. This engine uses Apache MXNet. Integration with AWS AWS AWS DeepLens integrates with Amazon Rekognition for advanced image analysis, training models with Amazon SageMaker, and integrating with Amazon Polly to produce voice ready projects. Devices can also be securely connected to AWS IoT, Amazon SQS, Amazon SNS, Amazon S3, Amazon DynamoDB and more. Fully Programmable AWS DeepLens is easy to customize and is fully programmable using AWS Lambda. The DeepLens deep-learning model can also be executed as part of AWS Lambda functions, allowing you to experiment with a familiar program environment.;500;;;electronics;computers-gaming;good
IKEA Markus swivel chair;Stora Gatan 12, 123 45 Staden;Lager A;Hylla 10;"Product Dimensions
Tested for: 110 kg
Width: 62 cm
Depth: 60 cm
Min. height: 129 cm
Max. height: 140 cm
Seat width: 53 cm
Seat depth: 47 cm
Min. seat height: 46 cm
Max. seat height: 57 cm";700;;;electronics;computers-gaming;excellent